room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay
Entire home/apt,CENTRE,BANKVIEW,3,5,5,3,159,3
Entire home/apt,CENTRE,MISSION,1,,4,2,240,4
Private room,CENTRE,SOUTH CALGARY,0,,2,1,56,2
Private room,NORTHEAST,SADDLE RIDGE,0,,2,1,39,1
Entire home/apt,CENTRE,BELTLINE,15,4.5,2,1,63,2
Entire home/apt,CENTRE,WINSTON HEIGHTS/MOUNTVIEW,48,5,4,0,52,
Entire home/apt,CENTRE,BELTLINE,1,,4,1,64,14
Private room,NORTHEAST,REDSTONE,2,,3,1,48,1
Private room,CENTRE,BRIDGELAND/RIVERSIDE,3,5,2,1,26,1
Entire home/apt,CENTRE,MISSION,15,5,4,2,140,3
Private room,CENTRE,CRESCENT HEIGHTS,21,5,2,1,28,1
Private room,CENTRE,INGLEWOOD,22,4.5,1,1,32,1
Entire home/apt,CENTRE,SOUTH CALGARY,9,5,4,1,68,1
Private room,NORTHWEST,MONTGOMERY,4,5,1,1,48,1
Private room,SOUTH,LAKE BONAVISTA,0,,1,1,55,1
Private room,CENTRE,CRESCENT HEIGHTS,0,,1,1,29,3
Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,26,4.5,5,2,79,1
Private room,WEST,GLENBROOK,0,,1,1,200,1
Entire home/apt,EAST,ALBERT PARK/RADISSON HEIGHTS,19,5,4,2,52,2
Private room,NORTH,NORTH HAVEN,0,,1,1,29,1
Entire home/apt,CENTRE,BELTLINE,113,4.5,6,2,95,1
Private room,CENTRE,INGLEWOOD,0,,4,1,160,1
Private room,NORTHWEST,SILVER SPRINGS,1,,3,1,42,3
Private room,SOUTH,PALLISER,23,5,3,1,36,1
Private room,CENTRE,GARRISON WOODS,9,5,2,1,48,1
Entire home/apt,CENTRE,KILLARNEY/GLENGARRY,1,,4,4,96,2
Entire home/apt,CENTRE,EAU CLAIRE,0,,2,1,160,14
Entire home/apt,CENTRE,BELTLINE,95,5,3,1,92,1
Entire home/apt,CENTRE,BELTLINE,3,4.5,4,2,100,1
Entire home/apt,NORTHWEST,BRENTWOOD,2,,3,1,102,3
Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,8,4.5,4,1,65,2
Private room,NORTHEAST,REDSTONE,0,,1,1,41,1
Entire home/apt,CENTRE,BELTLINE,110,4.5,2,0,53,2
Entire home/apt,CENTRE,CHINATOWN,11,5,2,1,119,1
Entire home/apt,NORTH,SAGE HILL,3,5,2,1,39,2
Entire home/apt,CENTRE,CRESCENT HEIGHTS,2,,4,2,76,2
